A1: Ladder,B1: Subject1 T1 IGH,C1: Subject1 T1 BCR,D1: Subject1 T1 TCR,E1: Subject1 T2 IGH,F1: Subject1 T2 BCR,G1: Subject1 T2 TCR,H1: Subject1 T3 IGH,A2: Subject1 T3 BCR,B2: Subject1 T3 TCR,C2: Subject1 T4 IGH,D2: Subject1 T4 BCR
71.00683,192.6962,257.2914,344.2163,384.2873,344.0541,181.6601,5.237979,215.0049,291.5627,375.4534,26.02356
77.38838,176.142,240.263,331.4135,387.304,353.6682,200.9115,6.505128,193.329,267.4829,388.3007,30.94968
83.6338,160.4825,222.5496,315.6658,386.958,360.5287,221.1787,7.95229,172.6195,243.615,397.5475,36.73194
89.53688,145.6826,204.6336,297.7862,382.8461,364.749,241.8128,9.755568,152.3576,219.4713,404.7343,43.55462
94.70386,132.0696,186.8415,278.7617,376.4162,367.8061,262.838,11.87132,133.8565,196.9242,404.4687,51.16494
99.04369,119.5636,169.6578,259.5196,366.4498,367.2043,283.5113,14.29144,117.1011,175.6339,401.7939,59.85799
102.4726,107.7504,153.4574,238.7299,353.3377,361.8772,303.5323,17.2354,102.5288,156.3081,394.3708,69.84993
104.6901,97.25482,138.2581,217.8095,337.9351,353.401,322.4019,20.61937,89.80614,138.5845,384.0477,80.88525
105.3892,87.88391,123.6125,197.2888,320.9487,340.9934,338.9978,24.56111,79.01924,123.2086,369.9562,93.62559
104.5091,79.63152,110.6417,177.2654,301.422,327.3026,354.9015,29.15408,70.04774,109.833,354.3607,107.6445
102.174,72.2116,98.72935,158.2539,280.5701,311.4428,368.9856,34.62698,62.78508,97.8636,336.1945,123.3965
98.4774,65.60414,88.06602,140.7191,259.0754,292.5794,381.8896,40.71997,56.63276,87.04068,316.767,141.2961
93.40635,59.8119,78.83057,124.603,237.1418,272.6051,390.8618,47.6712,51.68737,77.87939,294.79,160.5197
87.26823,54.71099,70.66299,109.9886,215.3272,252.0802,397.0412,55.47884,47.44449,70.43925,272.2402,181.342
80.23885,50.05687,63.32627,96.82001,193.83,231.5721,400.1706,64.29574,43.87032,64.23395,245.5697,204.3764
72.8097,45.99663,57.06786,85.45993,173.5538,210.1233,399.6447,73.92344,40.97615,58.81369,221.0483,228.7653
65.03373,42.43941,51.65506,75.72576,154.9976,189.4957,395.2664,84.83574,38.54119,54.33607,197.4848,254.3679
57.53431,39.38277,46.8768,67.32675,137.6485,169.7861,387.1152,97.05537,36.37782,50.57763,174.4416,281.0115
50.39053,36.66572,42.80404,60.25193,121.9253,151.1182,374.4051,110.5644,34.61307,47.17292,153.7742,308.1857
44.003,34.29543,39.25965,54.20015,107.9031,134.0818,360.0285,125.3638,32.95356,44.00835,135.0494,337.1571
38.08504,32.2173,36.09457,48.9923,95.23292,118.3574,342.3265,141.6163,31.61251,41.11666,118.3373,366.6546
32.94337,30.3654,33.2972,44.67746,84.34024,104.3859,322.0641,158.9197,30.1957,38.4632,103.7051,396.5904
28.30492,28.54809,30.76641,40.93667,74.86956,92.17974,298.4569,177.9782,28.81454,35.86458,90.78475,424.5261
24.56996,26.88344,28.57921,37.72335,66.74002,81.4978,274.4211,198.4369,27.55783,33.58873,79.82333,452.6538
21.38052,25.3504,26.59373,34.8232,59.75711,72.1014,249.8935,220.1789,26.39282,31.42793,70.73602,478.2608
18.75256,24.02084,24.56759,32.30042,53.78685,64.13257,225.4578,242.3893,25.21022,29.2255,63.02633,500.9737
16.5797,22.74715,22.98872,30.22189,48.80714,57.31962,201.5614,265.4627,24.19036,27.19946,56.58369,519.8919
14.80903,21.53732,21.57424,28.3176,44.4443,51.35768,178.8623,289.8091,23.39357,25.43981,51.25785,534.5641
13.46386,20.30156,20.16267,26.70963,40.69979,46.30102,157.7161,314.1613,22.80724,23.71523,46.83699,544.5794
